cor,se,CI
0.4974527531033518,0.023833204947561294,1
0.49437336894626593,0.023929932864266104,1
0.5135536933403247,0.023317670625993984,1
0.5074071560657196,0.023516413712007567,1
0.49389695205886613,0.023944844157863673,1
0.4516006712119254,0.02521137288100602,0
0.5217294709566358,0.02304960529973276,1
0.46346051736695515,0.02486767123512558,1
0.5303533044870259,0.022762260927408053,1
0.44678550132869954,0.02534837493985759,0
0.48762903484679426,0.024139683868048933,1
0.5119562146202637,0.023369553898741142,1
0.5341510614065431,0.022634226421011948,1
0.5166153954599565,0.023217780198896365,1
0.5097950138658005,0.023439488596108508,1
0.5418653489933041,0.022371340613173144,1
0.5126627254181855,0.023346627618109853,1
0.5157534628488313,0.023245961473305064,1
0.5073294587109292,0.023518910674309702,1
0.5128246513323218,0.0233413686674391,1
0.5251997085469544,0.022934544090185634,1
0.5114413007505842,0.023386242939264782,1
0.48309229976534046,0.02427915695566997,1
0.4683034716390699,0.02472475923054421,1
0.4658543984457919,0.024797215248528397,1
0.5164817298837809,0.023222153537953538,1
0.4868095415101323,0.024164974071091912,1
0.538548274702897,0.022484841086058333,1
0.5308246857859,0.022746418818178897,1
0.49343542012579106,0.023959275859860973,1
0.5036356291835012,0.023637178177317888,1
0.5093214173158792,0.02345477427579217,1
0.5176308010575362,0.0231845206843138,1
0.5268911489362932,0.022878185208847147,1
0.5520557143059897,0.02201829716291774,0
0.5121206963155067,0.02336421929004214,1
0.48338092966305873,0.024270322423323023,1
0.4616651153785671,0.024920274758842897,1
0.4870434086686588,0.024157761085841504,1
0.5142027537143571,0.023296544117611905,1
0.49969953871698214,0.023762251165939937,1
0.5129486049044096,0.023337341841665495,1
0.4560553791597502,0.025083318935367187,1
0.45387747368201325,0.025146081516160032,1
0.4930221118525243,0.023972188198660278,1
0.4825446596206173,0.024295904902646666,1
0.49274591956591973,0.023980810807723664,1
0.43999781147116146,0.025539005236335312,0
0.539994572940631,0.022435438727773496,1
0.4968823811154053,0.023851166480307228,1
0.5066930765274533,0.023539347716426153,1
0.49517239980201133,0.02390489185335154,1
0.4996060236451494,0.023765210761297673,1
0.4553549417010459,0.02510353682059214,1
0.4708608102593901,0.024648694693672032,1
0.4947962301546887,0.023916685757767397,1
0.5094990894717938,0.023449041440414407,1
0.45293451125104944,0.025173162476574685,1
0.49175848919902115,0.024011598459463063,1
0.49352458743201955,0.023956488727315747,1
0.5154951469053857,0.023254398064568547,1
0.4456679356852625,0.025379962132522058,0
0.49865738085991723,0.023795202405787863,1
0.5186851530204858,0.02314991637256245,1
0.47569698032790314,0.024503717022264553,1
0.48515153088919444,0.024216011477980498,1
0.488064223382541,0.024126236317943632,1
0.48605208436197817,0.024188311959688524,1
0.5314238439392497,0.022726262090285648,1
0.5130388244540922,0.023334410306449685,1
0.5107273443778723,0.023409355424683233,1
0.5002512878134838,0.023744777955990004,1
0.4927357692277221,0.02398112760503904,1
0.5188821402767508,0.02314344335440488,1
0.4766636887454548,0.024474559583480333,1
0.49980015366332375,0.023759066252851683,1
0.4350453356511411,0.02567625267636784,0
0.4906670994416778,0.02404555566631856,1
0.492035915410708,0.024002954668401532,1
0.5081567070697175,0.02349230573048032,1
0.4785427555613514,0.024417714633635217,1
0.49636990787013346,0.023867287154193638,1
0.5026429098294942,0.023668815310324512,1
0.4710418530726875,0.024643294121982875,1
0.5146065725969242,0.023283386600725185,1
0.4771142665296721,0.02446094922775709,1
